label,tags,type,Title,Document Type,URL,Description,Repo URL
did-core,W3C,core,Decentralized Identifiers (DIDs) V1.0,W3C Working Draft,https://www.w3.org/TR/did-core/,,https://github.com/w3c/did-core/
did-spec-registries,W3C,core,DID Specification Registries,W3C Editor's Draft,https://w3c.github.io/did-spec-registries,,https://github.com/w3c/did-spec-registries/
security-vocab,W3C,core,The Security Vocabulary,W3C Draft Community Group Report,https://w3c-ccg.github.io/security-vocab,,https://github.com/w3c-ccg/security-vocab/
signature-other,aggregate,core,Other Signature Schemes,,,Other Signature Schemes Pending Normative Definition In http://w3c-ccg.github.io,
EcdsaSecp256k1-recoverysignature-2020,DIF,core,EcdsaSecp256k1RecoverySignature2020,Identity Foundation Draft,https://identity.foundation/EcdsaSecp256k1RecoverySignature2020,,https://github.com/decentralized-identity/EcdsaSecp256k1RecoverySignature2020
Ed25519-signature-2018,W3C,core,Ed25519 Signature 2018,W3C Draft Community Group Report,https://w3c-ccg.github.io/lds-ed25519-2018,,https://github.com/w3c-ccg/lds-ed25519-2018
EcdsaSecp256k1-signature-2019,W3C,core,Ecdsa Secp256k1 Signature 2019,W3C Draft Community Report,https://w3c-ccg.github.io/lds-ecdsa-secp256k1-2019,,https://github.com/w3c-ccg/lds-ecdsa-secp256k1-2019/
RSA-signaturesuite-2018,W3C,core,RSA Signature Suite 2018,W3C Draft Community Group Report,https://w3c-ccg.github.io/lds-rsa2018,,https://github.com/w3c-ccg/lds-rsa2018
CBOR,IETF,non-core,Concise Binary Object Representation,IETF RFC,https://tools.ietf.org/html/rfc7049,,
DagCBOR,IPLD,non-core,DagCBOR,IPLD Spec,https://github.com/ipld/cid-cbor/,,
COSE,IETF,non-core,CBOR Object Signing and Encryption,IETF RFC,https://tools.ietf.org/html/rfc8152,,
CBOR-Tag-Registry,IANA,non-core,Concise Binary Object Representation (CBOR) Tags,IANA Spec,https://www.iana.org/assignments/cbor-tags/cbor-tags.xhtml,,
CBOR-Tags-Date,IETF,non-core,CBOR Tags for Date,IETF RFC,https://tools.ietf.org/html/rfc8943,,
did-resolution,W3C,core,Decentralized Identifier Resolution,W3C Community Group Report,https://w3c-ccg.github.io/did-resolution,,https://github.com/w3c-ccg/did-resolution/
did-method-key,W3C,core,The did:key Method,W3C Unofficial Draft,https://w3c-ccg.github.io/did-method-key,,https://github.com/w3c-ccg/did-method-key/
did-method-peer,W3C|DIF,core,Peer DID Method Specification,W3C Unofficial Draft,https://identity.foundation/peer-did-method-spec,,https://github.com/decentralized-identity/peer-did-method-spec/
did-method-sovrin,W3C|Sovrin,core,Sovrin DID Method Specification,W3C Editor's Draft,https://sovrin-foundation.github.io/sovrin/spec/did-method-spec-template.html,,https://github.com/sovrin-foundation/sovrin
did-method-web,W3C,core,did:web Method Specification,W3C Draft Community Group Report,https://w3c-ccg.github.io/did-method-web,,https://github.com/w3c-ccg/did-method-web/
did-dns,IETF,non-core,Decentralized Identifier in the DNS,IETF Network Working Group Internet Draft,https://tools.ietf.org/html/draft-mayrhofer-did-dns-01,,
did-method-other,W3C,core,Other did methods,,,"Other did methods not specifically shown on this map but referenced. 
",
SHA256,IETF,non-core,US Secure Hash Algorithms,IETF RFC,https://tools.ietf.org/html/rfc4634,,
Base58,IETF,non-core,Base 58 Encoding Scheme,IETF Internet Draft Informational,https://tools.ietf.org/id/draft-msporny-base58-01.html,,
multicodec,,non-core,Table of Codecs,Other,https://github.com/multiformats/multicodec/blob/master/README.md,,
draft-multiformats-multibase-02,IETF,non-core,Multibase Data Format,IETF Networking Working Group Internet Draft,https://tools.ietf.org/html/draft-multiformats-multibase-02,,
URI-syntax,IETF,non-core,Uniform Resource Identifier (URI): Generic Syntax,IETF RFC,https://tools.ietf.org/html/rfc3986,,
JSON-LD,W3C,non-core,A JSON-based Serialization for Linked Data,W3C Recommendation,https://www.w3.org/TR/json-ld11,,
JWK,IETF,non-core,JSON Web Key,IETF RFC,https://tools.ietf.org/html/rfc7517,,
XSD-Part2-Datatypes,W3C,non-core,XML XSD  Part 2: Datatypes,W3C Recommendation,https://www.w3.org/TR/xmlschema11-2/,,
did-comm-aries-Sync-Connection,Aries,core,Sync Connection Protocol,Aries RFC,https://github.com/hyperledger/aries-rfcs/blob/master/features/0030-sync-connection,,https://github.com/hyperledger/aries-rfcs/tree/master/features/0030-sync-connection
did-comm-aries-Out-of-Band,Aries,core,Out of Band Protocol,Aries RFC,https://github.com/hyperledger/aries-rfcs/blob/master/features/0434-outofband,,https://github.com/hyperledger/aries-rfcs/blob/master/features/0434-outofband
did-comm: aries: Exchange,Aries,core,Exchange Protocol,Aries RFC,https://github.com/hyperledger/aries-rfcs/blob/master/features/0023-did-exchange,,https://github.com/hyperledger/aries-rfcs/blob/master/features/0023-did-exchange
aries-predefined-identities,Aries,core,Aries Predefined Identities,Aries RFC,https://github.com/hyperledger/aries-rfcs/tree/master/features/0114-predefined-identities,,https://github.com/hyperledger/aries-rfcs/tree/master/features/0114-predefined-identities
vc-data-model,W3C,core,Verifiable Credentials Data Model,W3C Recommendation,https://www.w3.org/TR/vc-data-model,,https://github.com/w3c/vc-data-model/
