from,to,type,label
did-spec-registries,did-core,depends,depends
did-core,did-spec-registries,references,references
did-spec-registries,security-vocab,implements,implements
did-resolution,did-core,depends,depends
did-resolution,did-method-key,references,references
did-resolution,did-method-peer,references,references
did-core,JSON-LD,depends,depends
did-core,JWK,depends,depends
did-core,XSD-Part2-Datatypes,depends,depends
vc-data-model,JSON-LD,depends,depends
vc-data-model,Timestamps,depends,depends
vc-data-model,JWT,depends,depends
vc-data-model,JWS,depends,depends
vc-data-model,vc-use-cases,references,references
vc-data-model,vc-imp-guide,references,references
vc-data-model,vc-extension-registry,references,references
vc-data-model,hashlinks,references,references
vc-data-model,Token Binding,references,references
vc-status-rl-2020,vc-data-model,depends,depends
vc-imp-guide,vc-data-model,depends,depends
vc-extension-registry,vc-data-model,depends,depends
vc-status-rl-2020,ZLIB,depends,depends
vc-status-rl-2020,Base 64,depends,depends
vc-json-schemas,vc-data-model,depends,depends
vc-json-schemas,did-core,depends,depends
vp-request-spec,CHAPI,references,references
CHAPI,vp-request-spec,depends,depends
CHAPI,credential-management,extends,extends
CHAPI,secure-contexts,depends,depends
CHAPI,service-workers-1,depends,depends
CHAPI,web-idl,depends,depends
well-known-did,vc-data-model,depends,depends
well-known-did,did-core,depends,depends
presentation-exchange,JWT,references,references
didcomm-messaging,JWT,depends,depends
did-comm-messaging-guide,didcomm-messaging,depends,depends
didcomm-messaging,did-comm-messaging-guide,references,references
didcomm-messaging,JWM,depends,depends
didcomm-messaging,JWA,depends,depends
ldp-bbs2020,bbs-signatures-spec,depends,depends
ldp-bbs2020,rdf-dataset-normalization,depends,depends
ldp-bbs2020,ld-proofs,depends,depends
ldp-bbs2020,security-vocab,depends,depends
ld-proofs,ld-cryptosuite-registry,depends,depends
ld-proofs,rdf-dataset-normalization,references,references
presentation-exchange,CHAPI,references,references
presentation-exchange,didcomm-messaging,references,references
presentation-exchange,OIDC,references,references
presentation-exchange,vc-data-model,depends,depends
presentation-exchange,JWS-unencoded-payload,references,references
JWS-unencoded-payload,JWT,related,related
well-known-did,well-known-did-1-of-a,depends,depends
well-known-did-1-of-a,JWT,depends,depends
well-known-did-1-of-a,ld-proofs,depends,depends
well-known-did,JSON-LD,depends,depends
did-spec-registries,did-spec-registries-1-of-a,implements,implements
did-spec-registries-1-of-a,EcdsaSecp256k1-RecoverySignature-2020,implements,implements
did-spec-registries-1-of-a,signature-other,implements,implements
did-spec-registries-1-of-a,EcdsaSecp256k1-signature-2019,implements,implements
did-spec-registries-1-of-a,RSA-signaturesuite-2018,implements,implements
did-spec-registries-1-of-a,Ed25519-signature-2018,implements,implements
did-spec-registries-1-of-b,did-method-sovrin,references,references
did-spec-registries-1-of-b,did-method-web,references,references
did-spec-registries-1-of-b,did-method-peer,references,references
did-spec-registries-1-of-b,did-method-other,references,references
did-spec-registries,did-spec-registries-1-of-b,references,references
presentation-exchange,ld-cryptosuite-registry,references,references
did-core,jwk-thumbprint,references,references
did-core,Base58,references,references
did-core,multibase,references,references
did-core,hashlinks,references,references
