label,tags,type,Title,Document Type,URL,Description,Repo URL,Maturity,Spec Last Reviewed Date
did-core,W3C,core,Decentralized Identifiers (DIDs) V1.0,W3C Candidate Recommendation,https://www.w3.org/TR/did-core/,,https://github.com/w3c/did-core/,Candidate Recommendation,3/18/2021
did-spec-registries,W3C,core,DID Specification Registries,W3C Editor's Draft,https://w3c.github.io/did-spec-registries,,https://github.com/w3c/did-spec-registries/,Draft,12/30/2020
security-vocab,W3C,core,The Security Vocabulary,W3C Draft Community Group Report,https://w3c-ccg.github.io/security-vocab,,https://github.com/w3c-ccg/security-vocab/,Community Group,3/11/2021
signature-other,aggregate,core,Other Signature Schemes,,,Other Signature Schemes Pending Normative Definition In http://w3c-ccg.github.io,,,3/11/2021
EcdsaSecp256k1-recoverysignature-2020,DIF,core,EcdsaSecp256k1RecoverySignature2020,Identity Foundation Draft,https://identity.foundation/EcdsaSecp256k1RecoverySignature2020,,https://github.com/decentralized-identity/EcdsaSecp256k1RecoverySignature2020,Draft,3/11/2021
Ed25519-signature-2018,W3C,core,Ed25519 Signature 2018,W3C Draft Community Group Report,https://w3c-ccg.github.io/lds-ed25519-2018,,https://github.com/w3c-ccg/lds-ed25519-2018,Community Group,3/11/2021
EcdsaSecp256k1-signature-2019,W3C,core,Ecdsa Secp256k1 Signature 2019,W3C Draft Community Report,https://w3c-ccg.github.io/lds-ecdsa-secp256k1-2019,,https://github.com/w3c-ccg/lds-ecdsa-secp256k1-2019/,Community Group,3/11/2021
RSA-signaturesuite-2018,W3C,core,RSA Signature Suite 2018,W3C Draft Community Group Report,https://w3c-ccg.github.io/lds-rsa2018,,https://github.com/w3c-ccg/lds-rsa2018,Community Group,3/11/2021
CBOR,IETF,non-core,Concise Binary Object Representation,IETF RFC,https://tools.ietf.org/html/rfc7049,,,Proposed Standard,
CBOR-Tag-Registry,IANA,non-core,Concise Binary Object Representation (CBOR) Tags,IANA Spec,https://www.iana.org/assignments/cbor-tags/cbor-tags.xhtml,,,Standard,
CBOR-Tags-Date,IETF,non-core,CBOR Tags for Date,IETF RFC,https://tools.ietf.org/html/rfc8943,,,Proposed Standard,
did-resolution,W3C,core,Decentralized Identifier Resolution,W3C Community Group Report,https://w3c-ccg.github.io/did-resolution,,https://github.com/w3c-ccg/did-resolution/,Community Group,3/11/2021
did-method-key,W3C,non-core,The did:key Method,W3C Unofficial Draft,https://w3c-ccg.github.io/did-method-key,,https://github.com/w3c-ccg/did-method-key/,,3/11/2021
did-method-peer,W3C|DIF,non-core,Peer DID Method Specification,W3C Unofficial Draft,https://identity.foundation/peer-did-method-spec,,https://github.com/decentralized-identity/peer-did-method-spec/,Draft,3/11/2021
did-method-sovrin,W3C|Sovrin,non-core,Sovrin DID Method Specification,W3C Editor's Draft,https://sovrin-foundation.github.io/sovrin/spec/did-method-spec-template.html,,https://github.com/sovrin-foundation/sovrin,Draft,1/12/2021
did-method-web,W3C,non-core,did:web Method Specification,W3C Draft Community Group Report,https://w3c-ccg.github.io/did-method-web,,https://github.com/w3c-ccg/did-method-web/,Community Group,3/11/2021
did-method-other,W3C,non-core,Other did methods,,,Other did methods not specifically shown on this map but referenced,,,1/12/2021
Base58,IETF,non-core,Base 58 Encoding Scheme,IETF Internet Draft Informational,https://tools.ietf.org/id/draft-msporny-base58-01.html,,,Draft,
multibase,IETF,non-core,Multibase Data Format,IETF Networking Working Group Internet Draft,https://datatracker.ietf.org/doc/html/draft-multiformats-multibase-03,,,Working Group,
JSON-LD,W3C,non-core,A JSON-based Serialization for Linked Data,W3C Recommendation,https://www.w3.org/TR/json-ld11,,,Standard,
JWK,IETF,non-core,JSON Web Key,IETF RFC,https://tools.ietf.org/html/rfc7517,,,Proposed Standard,
XSD-Part2-Datatypes,W3C,non-core,XML XSD  Part 2: Datatypes,W3C Recommendation,https://www.w3.org/TR/xmlschema11-2/,,,Standard,
vc-data-model,W3C,core,Verifiable Credentials Data Model,W3C Recommendation,https://www.w3.org/TR/vc-data-model,,https://github.com/w3c/vc-data-model/,Standard,3/11/2021
Timestamps,IETF,non-core,Date and Time on the Internet: Timestamps,IETF RFC,https://tools.ietf.org/html/rfc3339,,,Proposed Standard,
JWT,IETF,non-core,JSON Web Token,IETF RFC,https://tools.ietf.org/html/rfc7519,,,Proposed Standard,
JWS,IETF,non-core,JSON Web Signtaures,IETF RFC,https://tools.ietf.org/html/rfc7515,,,Proposed Standard,
vc-use-cases,W3C,core,Verifiable Credentials Use Cases,W3C Working Group Note,https://www.w3.org/TR/vc-use-cases,,https://github.com/w3c/vc-use-cases/,Working Group,3/11/2021
vc-imp-guide,W3C,core,Verifiable Credentials Implementation Guidelines 1.0,W3C Editor's Draft,https://w3c.github.io/vc-imp-guide,,https://github.com/w3c/vc-imp-guide/,Draft,3/11/2021
vc-extension-registry,W3C,core,Verifiable Credentials Extension Registry,W3C Draft Community Group Report,https://w3c-ccg.github.io/vc-extension-registry,,https://github.com/w3c-ccg/vc-status-registry/,Community Group,3/11/2021
hashlinks,IETF,non-core,Cryptograohic Hyperlinks,Network Working Group Internet Draft,https://tools.ietf.org/html/draft-sporny-hashlink-06,,,Working Group,
